SKU,Product Name,AI Image Prompt
[cite_start]HK-NVS-001,Chicken Tikka,"Professional food photography of succulent grilled chicken tikka pieces on a matte ceramic plate[cite: 1]. [cite_start]Garnished with fresh cilantro and lemon[cite: 1]. Dark slate background, soft side lighting, realistic steam."
[cite_start]HK-NVS-002,Chilli Chicken Dry,"Realistic shot of crispy Indo-Chinese chicken tossed with vibrant peppers and chillies in a spicy glaze[cite: 2]. Served on a neutral earthen plate, dark wooden table background."
[cite_start]HK-NVS-003,Tandoori Chicken,"High-resolution image of bone-in tandoori chicken with deep red char[cite: 2]. [cite_start]Served on a rustic platter with red onion rings and mint chutney[cite: 2]. Traditional tandoor aesthetic."
[cite_start]HK-NVM-001,Butter Chicken,"Top-down hero shot of creamy orange butter chicken in a traditional copper bowl[cite: 3]. [cite_start]Finished with a fresh cream swirl and a dab of melting butter[cite: 3]. 550ml bowl setting."
[cite_start]HK-NVM-002,Chicken Tikka Masala,"Close-up of marinated chicken tikka in a rich, spiced tomato and cream based masala sauce[cite: 4]. Soft lighting, served in a professional 550ml ceramic bowl."
[cite_start]HK-NVM-003,Chicken Do Pyaza,"Realistic chicken curry featuring double caramelized onions and savory brown gravy[cite: 5]. Garnished with ginger juliennes, matte ceramic bowl setting."
[cite_start]HK-NVM-004,Kadhai Chicken,"Wok-style presentation of chicken with bell peppers, tomatoes, and freshly ground kadhai spices[cite: 6]. Steam rising, rustic dark background."
[cite_start]HK-NVM-005,Hariyali Chicken,"Vibrant green chicken curry made with coriander, mint, and spinach[cite: 7]. [cite_start]Served in a white bowl to contrast the deep green herb sauce[cite: 7]."
[cite_start]HK-NVM-006,Chicken Curry,"Home-style chicken curry with a flavorful onion-tomato gravy[cite: 8]. [cite_start]Garnished with fresh coriander, served in a 550ml professional setting[cite: 8]."
[cite_start]HK-NVM-007,Chicken Changezi,"Royal Mughlai chicken curry in a rich, creamy cashew-based gravy[cite: 9]. [cite_start]Topped with a drizzle of cream, elegant rustic lighting[cite: 9]."
[cite_start]HK-NVM-008,Chicken Manchurian,"Indo-Chinese chicken dumplings in a glossy, tangy soy-based sauce with chopped spring onions[cite: 10]. 550ml bowl presentation."
